,Date_reported,New_cases_CH,Cumulative_cases_CH,New_deaths_CH,Cumulative_deaths_CH,New_cases_US,Cumulative_cases_US,New_deaths_US,Cumulative_deaths_US,l_new_us,l_new_ch,l_death_us,l_death_ch,cproducts_notbasic_ch,cproducts_ch,healthcare_ch,lag_cpnb_ch,lag_cp_ch,lag_hc_ch,SP500,COMEX_Gold,US_Tbill_10yr,DJI_Pharma,DJI_Retail,lag_SP500,lag_COMEX_Gold,lag_US_Tbill_10yr,lag_DJI_Pharma,lag_DJI_Retail,lag14_New_cases_CH,lag14_New_cases_US,lag_New_cases_CH,lag_New_cases_US,lag14_SP500,lag14_COMEX_Gold,lag14_US_Tbill_10yr,lag14_DJI_Pharma,lag14_DJI_Retail,lag14_cpnb_ch,lag14_cp_ch,lag14_hc_ch,CSI300,llag14_New_cases_CH,llag14_New_cases_US,llag_New_cases_CH,llag_New_cases_US,lSP500,lCSI300
16,2020-02-05,3589,-53043,48,-3322,-29571,-2899884,-702,-98754,,4.464519603449146,,2.3070057974059335,-650.5058673469366,-4843.379030612239,-2066.6691836734717,-732.1086666666642,-5053.81466666666,-2478.837794871797,197.16418367347023,-206.66391752577238,0.7907692307692307,6.776275510203504,-162.96321428571378,161.97661538461625,-209.40673575129472,0.740360824742268,-6.056051282051726,-172.50943589743542,-300,-24613,2928.748717948718,-29271.097435897434,119.29791208791312,-174.73277777777707,0.9576243093922653,-7.469450549450698,-200.36208791208742,-146.74521978021767,-2926.0978571428495,-2612.8996153846165,-440.421326530613,,,4.277188435506212,,0.0654739726448863,-0.10448470940478316
17,2020-02-06,3394,-49346,55,-3249,-29570,-2899883,-702,-98754,-9.686715656401164,4.413118119079883,,2.4078104965278992,-536.565867346937,-4434.369030612241,-1679.469183673471,-641.8286666666636,-4818.924666666659,-2057.1977948717977,208.25418367347038,-196.2639175257725,0.7807692307692307,10.126275510203527,-161.61321428571387,199.07661538461616,-205.70673575129467,0.7903608247422679,6.9239487179481785,-161.21943589743546,-300,-24613,3587.748717948718,-29271.097435897434,135.16791208791346,-198.73277777777707,0.9976243093922653,-4.16945054945063,-199.33208791208745,-131.17521978021705,-3005.587857142851,-2715.0096153846152,-369.171326530613,,,4.462701101086675,,0.06879410137454833,-0.08604548562414038
18,2020-02-07,2848,-46195,55,-3176,-29571,-2899883,-702,-98754,,4.253316301900524,,2.4078104965278992,-538.1858673469369,-4307.33903061224,-1866.8291836734716,-527.888666666664,-4409.91466666666,-1669.997794871797,190.18418367347022,-191.86391752577242,0.7207692307692308,7.576275510203573,-157.45321428571378,210.1666153846163,-195.3067357512948,0.7803608247422679,10.273948717948201,-159.86943589743555,-300,-24613,3392.748717948718,-29270.097435897434,156.8179120879131,-202.23277777777707,0.9776243093922653,1.7505494505493289,-191.68208791208735,-44.98521978021745,-2833.5978571428495,-2466.5296153846157,-369.0813265306133,,,4.411299616717412,-9.676411250362106,0.06337863086000795,-0.08602240766551361
19,2020-02-10,2682,-37170,79,-2904,-29571,-2899883,-702,-98754,,4.199196185969953,,2.692062033882891,-503.77586734693705,-4114.879030612239,-2007.9891836734714,-529.5086666666639,-4282.8846666666595,-1857.3577948717975,214.56418367347032,-188.16391752577238,0.6907692307692308,12.356275510203545,-139.4232142857138,192.09661538461614,-190.90673575129472,0.720360824742268,7.723948717948247,-155.70943589743547,-300,-24613,2846.748717948718,-29271.097435897434,147.4679120879132,-192.23277777777707,0.9576243093922653,2.490549450549338,-200.96208791208733,-51.3952197802173,-2822.237857142849,-2409.9496153846158,-352.94132653061297,,,4.251497799538053,,0.07067828302237977,-0.08189234862106076
20,2020-02-11,2169,-34698,90,-2796,-29570,-2899882,-702,-98754,-9.686715656401164,4.010623978720831,,2.799482282503728,-449.3058673469368,-3974.65903061224,-2012.5991836734702,-495.09866666666403,-4090.4246666666586,-1998.5177948717974,220.22418367347018,-194.96391752577233,0.7207692307692308,14.23627551020354,-131.30321428571392,216.47661538461625,-187.20673575129467,0.690360824742268,12.50394871794822,-137.6794358974355,-300,-24613,2680.748717948718,-29271.097435897434,170.2479120879134,-202.13277777777694,0.9776243093922653,0.20054945054937434,-196.42208791208736,-6.255219780216976,-2573.657857142851,-2332.5596153846163,-316.49132653061315,,,4.197377683607482,,0.07236535792803167,-0.07262745703903484
21,2020-02-12,1719,-32676,79,-2699,-29571,-2899882,-702,-98754,,3.8096835597236676,,2.692062033882891,-410.8658673469372,-3911.50903061224,-1895.2891836734707,-440.6286666666638,-3950.2046666666593,-2003.1277948717961,241.92418367347,-193.16391752577238,0.7507692307692309,10.956275510203568,-119.5732142857139,222.1366153846161,-194.00673575129463,0.720360824742268,14.383948717948215,-129.5594358974356,-300,-24613,2167.748717948718,-29270.097435897434,165.26791208791337,-206.23277777777707,0.9476243093922653,8.140549450549315,-200.09208791208744,-10.10521978021734,-2728.7578571428494,-2406.6096153846156,-284.52132653061335,,,4.0088054763583605,-9.676411250362106,0.07880722548177665,-0.06457136128716279
22,2020-02-13,14849,-17524,236,-2445,-29569,-2899880,-702,-98754,-8.993568475841219,5.823728975569109,,3.6546853223980458,-474.32586734693723,-4005.7190306122393,-2018.1991836734705,-402.1886666666642,-3887.0546666666596,-1885.8177948717967,236.41418367347023,-189.36391752577242,0.7407692307692308,1.6062755102035453,-119.39321428571384,243.83661538461592,-192.20673575129467,0.7503608247422681,11.103948717948242,-117.82943589743559,-300,-24613,1717.748717948718,-29271.097435897434,171.40791208791325,-198.73277777777707,0.9176243093922652,13.930549450549279,-205.71208791208733,-55.72521978021723,-2703.7978571428503,-2367.459615384616,-309.0313265306131,,,3.8078650573611963,,0.07717545203981047,-0.07074180387008866
23,2020-02-14,3747,-13474,-4,-2432,-29571,-2899880,-702,-98754,,4.504313320243835,,0.6823004128410453,-481.9958673469373,-3866.0690306122397,-2015.33918367347,-465.6486666666642,-3981.2646666666587,-2008.7277948717965,242.63418367347003,-180.06391752577247,0.7207692307692308,1.9062755102034998,-121.95321428571378,238.32661538461616,-188.40673575129472,0.740360824742268,1.7539487179482194,-117.64943589743552,-300,-24613,14847.748717948718,-29269.097435897434,198.92791208791323,-202.53277777777703,0.9376243093922653,14.960549450549365,-195.10208791208743,-69.0152197802172,-2679.8478571428495,-2347.9496153846158,-281.22132653061317,,,5.821910473206638,-8.98326406980216,0.07901729677364422,-0.0637434802139083
24,2020-02-18,1590,-4878,80,-1943,-29571,-2899880,-702,-98754,,3.7437593113525716,,2.7023185340500806,-352.9258673469367,-3708.5990306122403,-1837.0991836734702,-473.3186666666643,-3841.614666666659,-2005.867794871796,232.76418367347014,-160.96391752577233,0.6807692307692308,-1.0137244897964592,-111.91321428571382,244.54661538461596,-179.10673575129476,0.720360824742268,2.053948717948174,-120.20943589743547,-296,-24613,3745.748717948718,-29271.097435897434,211.73791208791317,-193.03277777777703,0.9676243093922653,13.51054945054932,-194.60208791208743,-49.30521978021716,-2803.2678571428514,-2264.879615384616,-211.44132653061297,-2.4452671773837853,,4.502494817881364,,0.07609304519533389,-0.04639614193686015
25,2020-02-19,1448,-3127,118,-1807,-29571,-2899880,-702,-98754,,3.6657834924291017,,3.0300059411155598,-371.26586734693683,-3523.6490306122396,-2061.8991836734713,-344.24866666666367,-3684.1446666666598,-1827.6277948717961,248.62418367347027,-151.96391752577233,0.6907692307692308,0.4162755102036044,-108.26321428571373,234.67661538461607,-160.00673575129463,0.680360824742268,-0.8660512820517852,-110.1694358974355,-207,-24613,1588.748717948718,-29271.097435897434,202.90791208791325,-194.73277777777707,0.9076243093922652,11.210549450549365,-186.95208791208734,-178.5252197802174,-3200.337857142851,-1944.4096153846149,-217.64132653061324,0.7010379546495802,,3.741940808990102,,0.08078783390977584,-0.04792534130451109
